newspaper,date,edition,page_number,scale,year
publimetro,2018-02-20,default,16,NA,2018
publimetro,2018-02-20,default,8,NA,2018
publimetro,2018-02-20,default,1,NA,2018
publimetro,2018-02-20,default,7,NA,2018
publimetro,2018-02-20,default,6,NA,2018
publimetro,2018-02-20,default,2,NA,2018
publimetro,2018-02-28,default,6,NA,2018
publimetro,2018-02-28,default,9,NA,2018
publimetro,2018-02-28,default,11,NA,2018
publimetro,2018-02-28,default,3,NA,2018
publimetro,2018-02-28,default,16,NA,2018
publimetro,2018-02-28,default,15,NA,2018
publimetro,2018-02-28,default,7,NA,2018
publimetro,2018-02-28,default,14,NA,2018
publimetro,2018-02-28,default,13,NA,2018
publimetro,2018-02-28,default,10,NA,2018
publimetro,2018-02-28,default,5,NA,2018
publimetro,2018-02-28,default,2,NA,2018
publimetro,2018-02-28,default,4,NA,2018
publimetro,2018-02-28,default,8,NA,2018
publimetro,2018-02-28,default,12,NA,2018
publimetro,2018-02-28,default,1,NA,2018
publimetro,2018-02-12,default,6,NA,2018
publimetro,2018-02-12,default,5,NA,2018
publimetro,2018-02-12,default,7,NA,2018
publimetro,2018-02-12,default,12,NA,2018
publimetro,2018-02-12,default,14,NA,2018
publimetro,2018-02-12,default,3,NA,2018
publimetro,2018-02-12,default,11,NA,2018
publimetro,2018-02-12,default,1,NA,2018
publimetro,2018-02-12,default,13,NA,2018
publimetro,2018-02-12,default,16,NA,2018
publimetro,2018-02-12,default,2,NA,2018
publimetro,2018-02-12,default,10,NA,2018
publimetro,2018-02-12,default,9,NA,2018
publimetro,2018-02-12,default,8,NA,2018
publimetro,2018-02-12,default,4,NA,2018
publimetro,2018-02-12,default,15,NA,2018
publimetro,2018-02-15,default,4,NA,2018
publimetro,2018-02-15,default,11,NA,2018
publimetro,2018-02-15,default,2,NA,2018
publimetro,2018-02-15,default,5,NA,2018
publimetro,2018-02-15,default,14,NA,2018
publimetro,2018-02-15,default,9,NA,2018
publimetro,2018-02-15,default,10,NA,2018
publimetro,2018-02-15,default,13,NA,2018
publimetro,2018-02-15,default,16,NA,2018
publimetro,2018-02-15,default,1,NA,2018
publimetro,2018-02-15,default,15,NA,2018
publimetro,2018-02-15,default,8,NA,2018
publimetro,2018-02-15,default,3,NA,2018
publimetro,2018-02-15,default,12,NA,2018
publimetro,2018-02-15,default,7,NA,2018
publimetro,2018-02-15,default,6,NA,2018
publimetro,2018-05-02,default,12,NA,2018
publimetro,2018-05-02,default,10,NA,2018
publimetro,2018-05-02,default,11,NA,2018
publimetro,2018-05-02,default,5,NA,2018
publimetro,2018-05-02,default,14,NA,2018
publimetro,2018-05-02,default,3,NA,2018
publimetro,2018-05-02,default,15,NA,2018
publimetro,2018-05-02,default,4,NA,2018
publimetro,2018-05-02,default,9,NA,2018
publimetro,2018-05-02,default,16,NA,2018
publimetro,2018-05-02,default,6,NA,2018
publimetro,2018-05-02,default,7,NA,2018
publimetro,2018-05-02,default,2,NA,2018
publimetro,2018-05-02,default,1,NA,2018
publimetro,2018-05-02,default,13,NA,2018
publimetro,2018-05-02,default,8,NA,2018
publimetro,2018-05-08,default,13,NA,2018
publimetro,2018-05-08,default,2,NA,2018
publimetro,2018-05-08,default,1,NA,2018
publimetro,2018-05-08,default,3,NA,2018
publimetro,2018-05-08,default,4,NA,2018
publimetro,2018-05-08,default,6,NA,2018
publimetro,2018-05-08,default,8,NA,2018
publimetro,2018-05-08,default,11,NA,2018
publimetro,2018-05-08,default,9,NA,2018
publimetro,2018-05-08,default,7,NA,2018
publimetro,2018-05-08,default,16,NA,2018
publimetro,2018-05-08,default,12,NA,2018
publimetro,2018-05-08,default,5,NA,2018
publimetro,2018-05-08,default,14,NA,2018
publimetro,2018-05-08,default,15,NA,2018
publimetro,2018-05-08,default,10,NA,2018
publimetro,2018-05-21,default,14,NA,2018
publimetro,2018-05-21,default,15,NA,2018
publimetro,2018-05-21,default,10,NA,2018
publimetro,2018-05-21,default,5,NA,2018
publimetro,2018-05-21,default,8,NA,2018
publimetro,2018-05-21,default,12,NA,2018
publimetro,2018-05-21,default,7,NA,2018
publimetro,2018-05-21,default,2,NA,2018
publimetro,2018-05-21,default,16,NA,2018
publimetro,2018-05-21,default,13,NA,2018
publimetro,2018-05-21,default,6,NA,2018
publimetro,2018-05-21,default,9,NA,2018
publimetro,2018-05-21,default,4,NA,2018
publimetro,2018-05-21,default,3,NA,2018
publimetro,2018-05-21,default,11,NA,2018
publimetro,2018-05-21,default,1,NA,2018
publimetro,2018-05-24,default,3,NA,2018
publimetro,2018-05-24,default,4,NA,2018
publimetro,2018-05-24,default,16,NA,2018
publimetro,2018-05-24,default,12,NA,2018
publimetro,2018-05-24,default,5,NA,2018
publimetro,2018-05-24,default,15,NA,2018
publimetro,2018-05-24,default,1,NA,2018
publimetro,2018-05-24,default,2,NA,2018
publimetro,2018-05-24,default,9,NA,2018
publimetro,2018-05-24,default,8,NA,2018
publimetro,2018-05-24,default,10,NA,2018
publimetro,2018-05-24,default,13,NA,2018
publimetro,2018-05-24,default,14,NA,2018
publimetro,2018-05-24,default,11,NA,2018
publimetro,2018-05-24,default,6,NA,2018
publimetro,2018-05-24,default,7,NA,2018
publimetro,2018-05-11,default,6,NA,2018
publimetro,2018-05-11,default,2,NA,2018
publimetro,2018-05-11,default,10,NA,2018
publimetro,2018-05-11,default,1,NA,2018
publimetro,2018-05-11,default,12,NA,2018
publimetro,2018-05-11,default,15,NA,2018
publimetro,2018-05-11,default,11,NA,2018
publimetro,2018-05-11,default,7,NA,2018
publimetro,2018-05-11,default,4,NA,2018
publimetro,2018-05-11,default,14,NA,2018
publimetro,2018-05-11,default,3,NA,2018
publimetro,2018-05-11,default,5,NA,2018
publimetro,2018-05-11,default,16,NA,2018
publimetro,2018-05-11,default,9,NA,2018
publimetro,2018-05-11,default,13,NA,2018
publimetro,2018-05-11,default,8,NA,2018
publimetro,2018-05-14,default,14,NA,2018
publimetro,2018-05-14,default,5,NA,2018
publimetro,2018-05-14,default,7,NA,2018
publimetro,2018-05-14,default,12,NA,2018
publimetro,2018-05-14,default,16,NA,2018
publimetro,2018-05-14,default,4,NA,2018
publimetro,2018-05-14,default,10,NA,2018
publimetro,2018-05-14,default,13,NA,2018
publimetro,2018-05-14,default,9,NA,2018
publimetro,2018-05-14,default,15,NA,2018
publimetro,2018-05-14,default,2,NA,2018
publimetro,2018-05-14,default,8,NA,2018
publimetro,2018-05-14,default,1,NA,2018
publimetro,2018-05-14,default,3,NA,2018
publimetro,2018-05-14,default,11,NA,2018
publimetro,2018-05-14,default,6,NA,2018
publimetro,2018-05-17,default,1,NA,2018
publimetro,2018-05-17,default,11,NA,2018
publimetro,2018-05-17,default,3,NA,2018
publimetro,2018-05-17,default,13,NA,2018
publimetro,2018-05-17,default,15,NA,2018
publimetro,2018-05-17,default,14,NA,2018
publimetro,2018-05-17,default,12,NA,2018
publimetro,2018-05-17,default,2,NA,2018
publimetro,2018-05-17,default,7,NA,2018
publimetro,2018-05-17,default,8,NA,2018
publimetro,2018-05-17,default,6,NA,2018
publimetro,2018-05-17,default,9,NA,2018
publimetro,2018-05-17,default,10,NA,2018
publimetro,2018-05-17,default,5,NA,2018
publimetro,2018-05-17,default,4,NA,2018
publimetro,2018-05-17,default,16,NA,2018
publimetro,2018-05-31,default,12,NA,2018
publimetro,2018-05-31,default,3,NA,2018
publimetro,2018-05-31,default,2,NA,2018
publimetro,2018-05-31,default,1,NA,2018
publimetro,2018-05-31,default,6,NA,2018
publimetro,2018-05-31,default,16,NA,2018
publimetro,2018-05-31,default,14,NA,2018
publimetro,2018-05-31,default,9,NA,2018
publimetro,2018-05-31,default,15,NA,2018
publimetro,2018-05-31,default,10,NA,2018
publimetro,2018-05-31,default,8,NA,2018
publimetro,2018-05-31,default,7,NA,2018
publimetro,2018-05-31,default,13,NA,2018
publimetro,2018-05-31,default,4,NA,2018
publimetro,2018-05-31,default,11,NA,2018
publimetro,2018-05-31,default,5,NA,2018
publimetro,2018-05-09,default,8,NA,2018
publimetro,2018-05-09,default,14,NA,2018
publimetro,2018-05-09,default,4,NA,2018
publimetro,2018-05-09,default,6,NA,2018
publimetro,2018-05-09,default,10,NA,2018
publimetro,2018-05-09,default,13,NA,2018
publimetro,2018-05-09,default,7,NA,2018
publimetro,2018-05-09,default,15,NA,2018
publimetro,2018-05-09,default,9,NA,2018
publimetro,2018-05-09,default,2,NA,2018
publimetro,2018-05-09,default,12,NA,2018
publimetro,2018-05-09,default,3,NA,2018
publimetro,2018-05-09,default,11,NA,2018
publimetro,2018-05-09,default,16,NA,2018
publimetro,2018-05-09,default,5,NA,2018
publimetro,2018-05-09,default,1,NA,2018
publimetro,2018-05-04,default,13,NA,2018
